adjustment,cell_class,pathology,other_region,locus_id,anchors,S_DFC,S_other,Delta_S_DFC_minus_other
standard,EN,CERAD,MTG,AD|APH1B,1,-0.8833740588442589,-0.9049245828082884,0.021550523964029455
standard,EN,CERAD,MTG,AD|CD2AP,1,0.8542623834044986,0.8405442141400253,0.013718169264473223
standard,EN,CERAD,MTG,AD|CTSH,1,-0.5467319616011783,-0.6083353273631064,0.06160336576192804
standard,EN,CERAD,MTG,AD|DOC2A,2,-0.060630332340680715,-0.000531353168527815,-0.0600989791721529
standard,EN,CERAD,MTG,AD|GRN,1,-0.79242481103349,-0.9988143668341614,0.2063895558006713
standard,EN,CERAD,MTG,AD|JAZF1,1,-0.5237663878353387,0.5232547777631866,-1.0470211655985253
standard,EN,CERAD,MTG,AD|PLEKHA1,1,0.8325321794630279,0.93668930842511,-0.10415712896208207
standard,EN,CERAD,MTG,AD|RBCK1,1,0.9170672799307829,0.6240156724758357,0.2930516074549472
standard,EN,CERAD,MTG,AD|TNIP1,1,-0.7902886103281908,-0.6259036704815801,-0.16438493984661062
standard,EN,CERAD,MTG,AD|TPCN1,1,0.0912350210374491,-0.6007885694874189,0.692023590524868
standard,EN,CERAD,MTG,AD|TSPAN14,1,-0.1686039650045183,-0.890488434946672,0.7218844699421536
standard,EN,CERAD,MTG,AD|WDR12,3,-0.6072135707303662,-0.6359669701239494,0.028753399393583234
standard,EN,Braak,MEC,AD|ADAM17,3,-0.09486726724332217,-0.09737055896791114,0.002503291724588963
standard,EN,Braak,MEC,AD|APH1B,1,-0.7254350848343027,-0.6081862518763035,-0.11724883295799926
standard,EN,Braak,MEC,AD|CD2AP,1,0.6119110481953225,0.6141176632651734,-0.00220661506985087
standard,EN,Braak,MEC,AD|CTSH,1,0.1607991247384823,0.6014551730953911,-0.4406560483569088
standard,EN,Braak,MEC,AD|DOC2A,2,-0.17326820487701683,-0.3228415679976795,0.14957336312066266
standard,EN,Braak,MEC,AD|GRN,1,-0.5067267699175326,0.2207728904614292,-0.7274996603789619
standard,EN,Braak,MEC,AD|JAZF1,1,-0.2418222055988605,0.8470737029301632,-1.0888959085290237
standard,EN,Braak,MEC,AD|PLEKHA1,1,0.5373172430929888,0.9332553879916266,-0.39593814489863777
standard,EN,Braak,MEC,AD|RBCK1,1,0.7278255774799962,0.8539098965751143,-0.12608431909511808
standard,EN,Braak,MEC,AD|TNIP1,1,-0.8022403857280204,-0.8402834506093285,0.03804306488130815
standard,EN,Braak,MEC,AD|TPCN1,1,-0.0059042438716452,-0.7943852838749884,0.7884810400033432
standard,EN,Braak,MEC,AD|TSPAN14,1,-0.3872365338706736,-0.2016344153815923,-0.18560211848908129
standard,EN,Braak,MEC,AD|WDR12,3,-0.7333098953197097,-0.23930370193004072,-0.494006193389669
standard,EN,Braak,MTG,AD|ADAM17,3,-0.09486726724332217,-0.09375685371449649,-0.0011104135288256822
standard,EN,Braak,MTG,AD|APH1B,1,-0.7254350848343027,-0.9210693694353708,0.19563428460106802
standard,EN,Braak,MTG,AD|CD2AP,1,0.6119110481953225,-0.1310580128885609,0.7429690610838834
standard,EN,Braak,MTG,AD|CTSH,1,0.1607991247384823,0.3437090426594186,-0.1829099179209363
standard,EN,Braak,MTG,AD|DOC2A,2,-0.17326820487701683,-0.0018998609333759076,-0.17136834394364092
standard,EN,Braak,MTG,AD|GRN,1,-0.5067267699175326,-0.9700259086109672,0.46329913869343453
standard,EN,Braak,MTG,AD|JAZF1,1,-0.2418222055988605,0.6631617186902329,-0.9049839242890934
standard,EN,Braak,MTG,AD|PLEKHA1,1,0.5373172430929888,0.7307608063267335,-0.19344356323374468
standard,EN,Braak,MTG,AD|RBCK1,1,0.7278255774799962,0.6480785168946618,0.07974706058533443
standard,EN,Braak,MTG,AD|TNIP1,1,-0.8022403857280204,-0.9718342773309708,0.16959389160295046
standard,EN,Braak,MTG,AD|TPCN1,1,-0.0059042438716452,-0.5162102908145181,0.5103060469428728
standard,EN,Braak,MTG,AD|TSPAN14,1,-0.3872365338706736,-0.76896508627901,0.38172855240833636
standard,EN,Braak,MTG,AD|WDR12,3,-0.7333098953197097,-0.7515163512191704,0.018206455899460683
composition,Immune,CERAD,MEC,AD|ABI3,1,0.9125154652898522,0.8968453960316196,0.015670069258232555
composition,Immune,CERAD,MEC,AD|ADAM17,1,0.1951231777815507,0.2083385319029764,-0.013215354121425715
composition,Immune,CERAD,MEC,AD|ANK3,1,-0.7182363808479153,0.0825318202538618,-0.8007682011017772
composition,Immune,CERAD,MEC,AD|BIN1,2,-0.7484459475361542,-0.988719836017586,0.24027388848143172
composition,Immune,CERAD,MEC,AD|BLNK,1,-0.1834880385162681,-0.8922952638331141,0.708807225316846
composition,Immune,CERAD,MEC,AD|CASS4,1,-0.9776871916227632,-0.9763928386897196,-0.0012943529330435855
composition,Immune,CERAD,MEC,AD|CD2AP,1,0.9092465537294973,0.8160246503014966,0.09322190342800063
composition,Immune,CERAD,MEC,AD|DOC2A,1,0.9876043734682978,0.9969824168417316,-0.009378043373433842
composition,Immune,CERAD,MEC,AD|ECHDC3,1,0.484570679284775,0.4744838551277671,0.010086824157007901
composition,Immune,CERAD,MEC,AD|EPDR1,1,0.4428778188996141,-0.3300391775701467,0.7729169964697609
composition,Immune,CERAD,MEC,AD|EPHA1,4,-0.778377349810268,-0.4418725821482101,-0.33650476766205784
