cell_class,pathology,model_label,analysis,region,adjustment,primary_DFC_standard,anchor_rows,loci,n_samples,n_donors,S,matched_null_mean,empirical_p_raw,bootstrap_median,bootstrap_CI95_lower,bootstrap_CI95_upper,low_locus_count_exploratory,bootstrap_replicates,bootstrap_seed,empirical_p_BH_within_fixed_model_six,passes_fixed_model_BH05
Oligo,Braak,MEC_standard,region,MEC,standard,False,9,9,80,80,0.04320674217829104,-0.0808268263936042,0.5842415758424158,0.04887540240993271,-0.4457648089361471,0.5246580761166989,True,10000,20260731,0.9038096190380962,False
Oligo,CERAD,MEC_composition,region,MEC,composition,False,9,9,80,80,-0.11920552400464397,-0.0192508082836866,0.6543345665433457,-0.12623206934398457,-0.47191107864358073,0.2680395608624302,True,10000,20260731,0.9911008899110088,False
Oligo,Braak,MEC_composition,region,MEC,composition,False,9,9,80,80,0.01484244282630144,0.0252555813640356,0.954104589541046,0.010792149283475352,-0.36179196317935425,0.37198629542408124,True,10000,20260731,0.9911008899110088,False
Oligo,CERAD,MTG_standard,region,MTG,standard,False,9,9,81,81,-0.33210521560472805,-0.0379214286804199,0.1852814718528147,-0.33896013201321273,-0.7341751014560497,0.10760645516527521,True,10000,20260731,0.5111488851114888,False
Oligo,Braak,MTG_standard,region,MTG,standard,False,9,9,81,81,-0.35509095165185367,0.0260814689099788,0.060993900609939,-0.3654288828275695,-0.7311618655577756,0.06304957598214103,True,10000,20260731,0.365963403659634,False
Oligo,CERAD,MTG_composition,region,MTG,composition,False,9,9,81,81,-0.2986620045355285,-0.0745061039924621,0.3431656834316568,-0.31008879240876497,-0.7253358102114909,0.1793646073164885,True,10000,20260731,0.8867113288671132,False
Oligo,Braak,MTG_composition,region,MTG,composition,False,9,9,81,81,-0.11413470639053151,-0.0822912156581878,0.8867113288671132,-0.11904696038760315,-0.6164550058595919,0.4028698478597846,True,10000,20260731,0.8867113288671132,False
Oligo,CERAD,repeated_standard,repeated,DFC_MEC_MTG,standard,False,9,9,240,83,-0.1641367035631696,-0.0367817133665084,0.6347365263473652,-0.16702438034300998,-0.6934524550354513,0.39639640424654565,True,10000,20260731,0.9215078492150784,False
Oligo,Braak,repeated_standard,repeated,DFC_MEC_MTG,standard,False,9,9,240,83,-0.13832770874752867,-0.0456769242882728,0.708029197080292,-0.13880193455043816,-0.6422583787531546,0.3936307096670339,True,10000,20260731,0.9215078492150784,False
EN,CERAD,DFC_standard,region,DFC,standard,True,18,13,80,80,-0.14956889231314194,0.0192257110029459,0.3282671732826717,-0.15730836857161462,-0.4719602069057198,0.19492858045844672,False,10000,20260731,0.6456554344565543,False
EN,Braak,DFC_standard,region,DFC,standard,True,18,13,80,80,-0.12561212290417645,0.0023839664645493,0.4300569943005699,-0.12614873149824538,-0.38915153551843723,0.15546854363587834,False,10000,20260731,0.6456554344565543,False
EN,CERAD,DFC_composition,region,DFC,composition,False,18,13,80,80,-0.1205739051263942,-0.0459815226495265,0.6583341665833417,-0.11945952338803131,-0.3943856747519274,0.15161270795803028,False,10000,20260731,0.6583341665833417,False
EN,Braak,DFC_composition,region,DFC,composition,False,18,13,80,80,-0.16165534373496787,-0.0080112582072615,0.3512648735126487,-0.16455137800380948,-0.40891933808390457,0.08496927459301888,False,10000,20260731,0.526897310268973,False
EN,CERAD,MEC_standard,region,MEC,standard,False,18,13,81,81,-0.09439426538011718,0.0853171423077583,0.3067693230676932,-0.09645559657834518,-0.4452055959154604,0.27248888118073733,False,10000,20260731,0.9038096190380962,False
EN,Braak,MEC_standard,region,MEC,standard,False,18,13,81,81,0.07435226797546567,0.0966848358511924,0.9038096190380962,0.0751340312282124,-0.2581450303204078,0.40592376736670077,False,10000,20260731,0.9038096190380962,False
EN,CERAD,MEC_composition,region,MEC,composition,False,18,13,81,81,-0.13371311999928953,0.1089767441153526,0.1548845115488451,-0.13880772258160096,-0.49002242250773287,0.2522150803686901,False,10000,20260731,0.7388261173882611,False
EN,Braak,MEC_composition,region,MEC,composition,False,18,13,81,81,-0.1344651640637606,0.0807491466403007,0.2462753724627537,-0.13483911654224606,-0.45558807253835976,0.18606676949629,False,10000,20260731,0.7388261173882611,False
EN,CERAD,MTG_standard,region,MTG,standard,False,18,13,84,84,-0.196625231393242,-0.0132404752075672,0.3407659234076592,-0.2020232896797678,-0.5486945605617276,0.18383906141176135,False,10000,20260731,0.5111488851114888,False
EN,Braak,MTG_standard,region,MTG,standard,False,18,13,84,84,-0.21081737897349184,-0.0115029020234942,0.2711728827117288,-0.2139353236469157,-0.5447260107514109,0.12387264468623342,False,10000,20260731,0.5111488851114888,False
EN,CERAD,MTG_composition,region,MTG,composition,False,18,13,84,84,-0.07252790804715378,-0.0080797960981726,0.6827317268273173,-0.07277464754781098,-0.35760802710845235,0.21087970785462473,False,10000,20260731,0.8867113288671132,False
EN,Braak,MTG_composition,region,MTG,composition,False,18,13,84,84,-0.15616534634998316,-0.0272285770624876,0.4312568743125687,-0.15573280461615452,-0.441175108227171,0.1429706446050249,False,10000,20260731,0.8867113288671132,False
EN,CERAD,repeated_standard,repeated,DFC_MEC_MTG,standard,False,18,13,245,84,-0.20656697360138385,0.0628621205687522,0.1632836716328367,-0.21162000109491363,-0.5665115468151484,0.20081517366355378,False,10000,20260731,0.9215078492150784,False
EN,Braak,repeated_standard,repeated,DFC_MEC_MTG,standard,False,18,13,245,84,-0.11843945928164465,0.0644153356552124,0.3411658834116588,-0.11819986448775988,-0.4608561876698144,0.2409169114160366,False,10000,20260731,0.9215078492150784,False
