source,model,pathology,level,disease,cell_class,anchor_rows,loci,S_observed,bootstrap_median,bootstrap_CI95_lower,bootstrap_CI95_upper,low_locus_count_exploratory,bootstrap_replicates,bootstrap_seed
RADC,quality_weights,Braak,global,AD,ALL,72,36,0.15911383548576674,0.16025793829078308,-0.01197950623169925,0.3315910661683853,False,10000,20260731
RADC,quality_weights,Braak,stratum,AD,Astro,8,7,-0.030116734046954568,-0.022330004401908996,-0.582607766553681,0.491194673403447,True,10000,20260731
RADC,quality_weights,Braak,stratum,AD,EN,18,13,0.3072191251193325,0.31033708084999023,0.018206923478139108,0.583783326736028,False,10000,20260731
RADC,quality_weights,Braak,stratum,AD,IN,10,8,0.48149858110944377,0.4814334221193617,0.22267027538375797,0.743875719704108,True,10000,20260731
RADC,quality_weights,Braak,stratum,AD,Immune,24,20,0.11041396939444448,0.11060479797953357,-0.18424869025334734,0.3941910693770088,False,10000,20260731
RADC,quality_weights,Braak,stratum,AD,OPC,3,3,-0.4054812256046734,-0.4054812256046734,-0.8945239308789145,0.1198969359746654,True,10000,20260731
RADC,quality_weights,Braak,stratum,AD,Oligo,9,9,0.3115428913696086,0.31154289136960855,-0.03770977742838562,0.6381753767450369,True,10000,20260731
SEA-AD,three_region_summed_standard_voom,CERAD,stratum,AD,Immune,25,21,0.12002840443048945,0.12075331446713197,-0.16820379657688694,0.41517692263705464,False,10000,20260731
SEA-AD,three_region_summed_standard_voom,Braak,stratum,AD,Immune,25,21,0.08318748709445,0.08663267915364414,-0.22551750849497,0.3899089453723949,False,10000,20260731
SEA-AD,three_region_summed_standard_voom,CERAD,stratum,AD,Oligo,9,9,-0.1291698523714009,-0.13642696113981553,-0.5219548222701532,0.3136142193818488,True,10000,20260731
SEA-AD,three_region_summed_standard_voom,Braak,stratum,AD,Oligo,9,9,-0.2093224766016127,-0.21523110421890457,-0.5848517083671714,0.20573862027247808,True,10000,20260731
SEA-AD,three_region_summed_standard_voom,CERAD,stratum,AD,EN,18,13,-0.1656081833282442,-0.16951385481141937,-0.48429922917014306,0.1873152967556619,False,10000,20260731
SEA-AD,three_region_summed_standard_voom,Braak,stratum,AD,EN,18,13,-0.08290836425820286,-0.08258624626541834,-0.37170196631072167,0.20249723038758932,False,10000,20260731
