cell_class,pathology,locus_id,anchors,S_radc,S_seaad,Delta_S_radc_minus_seaad
Immune,Braak,AD|ECHDC3,1,0.117753868623246,0.6130265163083435,-0.4952726476850975
Immune,Braak,AD|EPDR1,1,-0.24215729027620037,-0.6120416016782811,0.3698843114020808
Immune,Braak,AD|EPHA1,4,-0.20983543401414326,-0.47219849311954604,0.2623630591054028
Immune,Braak,AD|FERMT2,1,0.9529138961758719,0.7019306615236809,0.25098323465219097
Immune,Braak,AD|MS4A6A,1,0.5398700431192416,-0.015080031060568988,0.5549500741798106
Immune,Braak,AD|NCK2,1,0.15684219186730153,-0.7419781024889328,0.8988202943562343
Immune,Braak,AD|PICALM,1,-0.8764443818386105,0.23388913627337082,-1.1103335181119813
Immune,Braak,AD|PLEKHA1,1,0.30267694134672274,0.7767160914898104,-0.4740391501430876
Immune,Braak,AD|RASGEF1C,1,0.7520025452567127,0.9633761043028337,-0.21137355904612098
Immune,Braak,AD|RHOH,1,0.7695580886192925,0.8182423847630986,-0.048684296143806094
Immune,Braak,AD|SCIMP,1,0.8690390959125474,0.927776708073923,-0.05873761216137563
Immune,Braak,AD|WDR81,1,-0.9381486485992179,-0.9882287401292094,0.05008009152999149
Oligo,CERAD,AD|ABCA7,1,0.8149812768540423,0.8879944850993577,-0.07301320824531543
Oligo,CERAD,AD|APH1B,1,-0.7680357475642632,-0.4674799161301373,-0.3005558314341259
Oligo,CERAD,AD|COX7C,1,0.6168208947085605,0.4075067729027808,0.20931412180577968
Oligo,CERAD,AD|DOC2A,1,-0.6847128451551988,-0.7364608711082201,0.051748025953021304
Oligo,CERAD,AD|EPDR1,1,0.7209461157075772,-0.5669336354016572,1.2878797511092344
Oligo,CERAD,AD|GRN,1,0.2760432664297874,-0.5513806845395597,0.8274239509693471
Oligo,CERAD,AD|PRKD3,1,-0.0795923264801206,-0.7940616803179978,0.7144693538378772
Oligo,CERAD,AD|SPDYE3,1,0.9569720233729795,0.9469822648792487,0.009989758493730738
Oligo,CERAD,AD|SPPL2A,1,0.5685780452017077,-0.2886954067264238,0.8572734519281315
Oligo,Braak,AD|ABCA7,1,0.8204407632322546,0.8427546244668231,-0.022313861234568577
Oligo,Braak,AD|APH1B,1,-0.4891270141229057,-0.24812293401800622,-0.2410040801048995
Oligo,Braak,AD|COX7C,1,0.5062066236688818,-0.566827334545468,1.0730339582143498
Oligo,Braak,AD|DOC2A,1,-0.34538396351111533,-0.8666568864015236,0.5212729228904083
Oligo,Braak,AD|EPDR1,1,0.013678210099629773,-0.2980327594916172,0.311710969591247
Oligo,Braak,AD|GRN,1,0.050812636772444186,-0.8452536303265528,0.896066267098997
Oligo,Braak,AD|PRKD3,1,0.8106574408525253,-0.7758619413946916,1.586519382247217
Oligo,Braak,AD|SPDYE3,1,0.862365694820336,0.5827134482967509,0.2796522465235851
Oligo,Braak,AD|SPPL2A,1,0.6952449735331241,0.29138512399977046,0.40385984953335363
EN,CERAD,AD|ADAM17,3,-0.05358344375616882,-0.142907294538522,0.08932385078235316
EN,CERAD,AD|APH1B,1,0.7897410016484412,-0.7090127398316617,1.4987537414801029
EN,CERAD,AD|CD2AP,1,0.7570265861799541,0.9464226534465909,-0.18939606726663683
EN,CERAD,AD|CTSH,1,0.2467799435185125,-0.5337997020682355,0.780579645586748
EN,CERAD,AD|DOC2A,2,-0.646115824733219,-0.13723315689137683,-0.5088826678418422
EN,CERAD,AD|GRN,1,0.39779638571635156,-0.9721932912862993,1.3699896770026507
EN,CERAD,AD|JAZF1,1,-0.5236898444049252,-0.1609742944111171,-0.36271554999380806
EN,CERAD,AD|PLEKHA1,1,0.9458708555284596,0.8794202889062646,0.06645056662219506
EN,CERAD,AD|RBCK1,1,-0.48202521110132635,0.6417295405012515,-1.1237547516025779
EN,CERAD,AD|TNIP1,1,0.8865836148103954,-0.8463421727273782,1.7329257875377735
EN,CERAD,AD|TPCN1,1,0.04136316798101114,0.026462153575560254,0.014901014405450885
EN,CERAD,AD|TSPAN14,1,-0.31775043756489785,-0.783290983304223,0.46554054573932513
EN,CERAD,AD|WDR12,3,0.40755593963087633,-0.3611873846380293,0.7687433242689057
EN,Braak,AD|ADAM17,3,0.29264476857281285,0.060626613786557836,0.232018154786255
EN,Braak,AD|APH1B,1,0.8195312752273258,-0.5231583613032845,1.3426896365306105
EN,Braak,AD|CD2AP,1,0.8650405066248716,0.3991988833660154,0.46584162325885625
EN,Braak,AD|CTSH,1,0.044946632707511425,0.248959531069888,-0.20401289836237657
EN,Braak,AD|DOC2A,2,-0.44531800622251416,-0.2625746504420253,-0.18274335578048884
EN,Braak,AD|GRN,1,0.436744528501559,-0.4645846728908427,0.9013292013924017
EN,Braak,AD|JAZF1,1,-0.0809486626703555,0.6374512751954233,-0.7183999378657788
EN,Braak,AD|PLEKHA1,1,0.8134161764440584,0.6463459854021323,0.1670701910419261
EN,Braak,AD|RBCK1,1,-0.5126038098525455,0.5839239057174872,-1.0965277155700326
EN,Braak,AD|TNIP1,1,0.977714778193739,-0.9496988789624395,1.9274136571561784
EN,Braak,AD|TPCN1,1,0.2305217533199242,-0.22634057456560353,0.4568623278855277
EN,Braak,AD|TSPAN14,1,-0.005681197608091382,-0.7567412842109702,0.7510600866028788
EN,Braak,AD|WDR12,3,0.3571860579167172,-0.47121650751897476,0.8284025654356919
